system:index,azimuth,cloud_cover,elev,emiss,esd,l_exceltime,landsat_time,pct_lake,pixel_count,surface_temp_max,surface_temp_mean,surface_temp_min,surface_temp_stdDev,sza,v_exceltime,vapor_time,water_column,zscore_max,zscore_mean,zscore_min,.geo
1_2_1_LE07_013030_20101117,161.89937,75.0,25.781836,0.981,0.9886641,40499.642815162035,1290007539230,0.8904822335025381,21051,8.742880966908912,6.1412750157688505,4.613795786633201,0.41406512809337054,64.21816444396973,40499.75,1290016800000,1.6700012207031252,6.283083927206269,1.0330665806796173E-13,-3.6889830258567615,
1_2_1_LE07_013030_20110512,139.9514,25.0,59.865025,0.981,1.0102063,40675.643387268516,1305213988660,0.8492808798646362,20077,20.278462118340453,9.622096770255665,6.403474331352776,1.3060048184881947,30.13497543334961,40675.75,1305223200000,1.4299987792968751,8.159514572404401,-7.458396310508627E-13,-2.4644797579144475,
1_1_2_1_LT05_013030_20110621,129.85707,3.0,63.015804,0.981,1.0162461,40715.64040833333,1308669731280,1.0,23640,25.440780609205984,17.30645443281501,16.111475920084622,0.8501679651012609,26.984195709228516,40715.75,1308679200000,2.129998779296875,9.567904826221158,3.927711302785077E-12,-1.405579322890691,
1_2_1_LE07_013030_20110629,131.19823,49.0,63.20413,0.981,1.0166218,40723.64334328704,1309361184860,0.8455160744500846,19988,24.910636053966467,17.843491545984268,16.019693999060557,0.6684032915470055,26.79587173461914,40723.75,1309370400000,2.3600006103515625,10.573174305628328,3.726886154874551E-12,-2.728588518321879,
1_1_2_1_LT05_013030_20110707,129.69344,16.0,61.868656,0.981,1.0166934,40731.64033854166,1310052125250,0.42779187817258885,10113,22.398555129867972,18.15655774790479,11.409307323622375,0.9643357325200375,28.131343841552734,40731.75,1310061600000,1.25,4.39888022284297,7.182780930607922E-13,-6.996785659544373,
1_2_1_LE07_013030_20110715,132.33632,16.0,61.469967,0.981,1.0164593,40739.64334351852,1310743584880,0.8661167512690355,20475,26.91004926808787,19.909879428755367,18.70109219811766,0.5793594839217894,28.530033111572266,40739.75,1310752800000,2.1399993896484375,12.082601620581206,9.48470426139593E-12,-2.08642002795088,
1_2_1_LE07_013030_20110731,135.80113,12.0,58.693363,0.981,1.0150965,40755.64330474537,1312125981530,0.8863790186125211,20954,26.413186930598716,20.956321193585598,20.2820347238755,0.4936843565444918,31.306636810302734,40755.75,1312135200000,2.1899993896484378,11.053349502925428,1.1647053539411461E-11,-1.3658250677208343,
1_1_2_1_LT05_013030_20111011,156.32689,1.0,36.93492,0.981,0.9983227,40827.63954097222,1318346456340,1.0,23640,17.029570380110282,13.928486993158213,13.31311249311821,0.31320355141353523,53.06507873535156,40827.75,1318356000000,1.1399993896484375,9.901175682575785,-6.341555778127894E-12,-1.9647749754519852,
1_2_1_LE07_013030_20111104,161.45084,16.0,29.457754,0.981,0.9917652,40851.64327418982,1320420378890,0.8513113367174281,20125,8.163610312224417,7.178313395752045,-4.184772949667951,1.0861642139692032,60.542245864868164,40851.75,1320429600000,0.35000000000000003,0.9071343944133198,-9.417793877027585E-13,-10.46166518771183,
1_1_2_1_LT05_013030_20111112,160.39133,32.0,26.826258,0.981,0.9898324,40859.639191319446,1321111226130,0.9974619289340102,23580,6.504205342677451,5.562472355520062,0.8374378058186229,0.6546079542189189,63.17374229431152,40859.75,1321120800000,1.0600006103515625,1.4386213627377453,-2.3311127407181976E-12,-7.218113558273777,
1_2_1_LE07_013030_20120615,132.6231,0.0,63.820877,0.981,1.0158358,41075.64397025463,1339774039030,0.873181049069374,20642,25.39744362172722,17.601820678876848,16.01954125677202,0.7231115397408118,26.179122924804688,41075.75,1339783200000,1.1899993896484375,10.7806645509275,-3.0125469701105305E-12,-2.1881540193259434,
1_2_1_LE07_013030_20120818,142.40648,36.0,54.526978,0.981,1.0121038,41139.64448888889,1345303683840,0.6520727580372251,15415,25.4004884508319,19.992646314151145,6.993186235305255,0.9227500558083083,35.4730224609375,41139.75,1345312800000,1.470001220703125,5.860570912611442,-1.6763338523080818E-13,-14.087736973864125,
1_2_1_LE07_013030_20120903,147.98201,1.0,49.956173,0.981,1.0085604,41155.64460613426,1346686093970,0.8937394247038917,21128,23.382084022214574,18.92318542109505,18.16926619746105,0.40543454045549787,40.043827056884766,41155.75,1346695200000,1.9899993896484376,10.997826174627448,-5.842629570670041E-12,-1.8595337801929415,
1_2_1_LE07_013030_20120919,153.18295,9.0,44.786755,0.981,1.0043688,41171.644696296295,1348068501760,0.8891285956006768,21019,19.7521760656524,16.47647287173854,8.74377208871985,0.6400102612134132,45.2132453918457,41171.75,1348077600000,0.479998779296875,5.11820417957575,1.140086599964365E-12,-12.082151258572088,
1_2_1_LE07_013030_20121021,160.55864,56.0,33.807644,0.981,0.9952887,41203.64492939815,1350833321900,0.5122250423011845,12109,11.59814094068349,8.7690636109221,2.7927957663207024,1.2251530928274605,56.19235610961914,41203.75,1350842400000,1.5399993896484376,2.309162296796986,3.8067529145930046E-13,-4.87797637665764,
1_2_1_LE07_013030_20121106,162.29822,0.0,28.780134,0.981,0.9910839,41219.64495046296,1352215723720,0.8867597292724196,20963,9.32080907412421,7.626435855738456,1.5603973957108517,0.9115404734990581,61.219865798950195,41219.75,1352224800000,0.5399993896484375,1.8588019595901184,-1.5996505897247421E-12,-6.6547110483667105,
1_2_1_LE07_013030_20121122,162.69164,0.0,24.671196,0.981,0.9875474,41235.64505775463,1353598132990,0.892005076142132,21087,7.580067261886198,5.1299271785417675,2.7928994767082047,0.3779944754593195,65.32880401611328,41235.75,1353607200000,1.0399993896484376,6.4819468072043795,-5.2589875460050846E-12,-6.1827033291788895,
1_2_1_LE07_013030_20130501,143.24661,0.0,57.49223,0.981,1.0076833,41395.64500474537,1367422128410,0.8643824027072758,20434,23.37766892562808,10.902346645973779,6.993104165843643,1.945848355251432,32.50777053833008,41395.75,1367431200000,1.55,6.411251034021254,-6.008600505214745E-13,-2.0090170282694024,
1_2_1_LE07_013030_20130517,139.53268,34.0,61.252213,0.981,1.011393,41411.644977083335,1368804526020,0.6410321489001692,15154,17.63420600133371,9.889116485429492,5.214080488373099,0.9132370823624497,28.747787475585938,41411.75,1368813600000,1.020001220703125,8.480918772886962,8.411770530317808E-13,-5.1191920338610855,
2_1_LC08_013030_20130712,135.5364,23.91,62.93598,0.981,1.0165613,41467.6492255787,1373643293090,0.39581218274111674,9357,19.47812677133782,13.923185871349915,-6.508105351176371,3.414232056234886,27.06401824951172,41467.75,1373652000000,1.1500000000000001,1.626995707524851,-2.8661464783457046E-14,-5.984154236152686,
1_2_1_LE07_013030_20130805,138.06842,0.0,57.74016,0.981,1.0143673,41491.64454861111,1375716489000,0.8743231810490694,20669,22.867137584299513,18.959961669753284,12.160276811470768,0.5157774697307107,32.25983810424805,41491.75,1375725600000,1.6200012207031251,7.57531327722822,-3.685529309024794E-12,-13.183369296515911,
1_2_1_LE07_013030_20130906,148.99937,2.0,49.120106,0.981,1.0078804,41523.64475717593,1378481307020,0.8988155668358714,21248,21.8376041256377,17.27435404828412,12.719881768041148,1.0651176739786679,40.8798942565918,41523.75,1378490400000,1.4799987792968752,4.284268479282574,1.0487059838625015E-12,-4.276027326849324,
2_1_LC08_013030_20130930,158.19667,3.88,41.541733,0.981,1.0013444,41547.64914849537,1380555286430,0.9327834179357022,22051,19.79049410792216,15.698660745179046,10.722205458040445,0.6146340019154005,48.45826721191406,41547.75,1380564000000,1.6,6.657349495783872,-1.9166879672207132E-13,-8.096615663354678,
1_2_1_LE07_013030_20131008,158.17659,1.0,38.345352,0.981,0.9990453,41555.645015856484,1381246129370,0.893824027072758,21130,15.476154211244312,13.762301435110908,11.598688821394994,0.36892499405579066,51.65464782714844,41555.75,1381255200000,0.929998779296875,4.645531757802852,-3.785191712811389E-12,-5.864640912317049,
1_2_1_LE07_013030_20131109,162.52426,58.0,28.00847,0.981,0.9904225,41587.645178935185,1384010943460,0.878087986463621,20758,7.580152059497685,5.967075540806036,-3.5294181198220658,1.1349095206196402,61.99152946472168,41587.75,1384020000000,0.8899993896484375,1.4213260963842635,1.266382772103826E-13,-8.36762181309677,
1_2_1_LE07_013030_20131125,162.70673,26.0,24.10748,0.981,0.9870306,41603.64524097222,1385393348820,0.8918358714043993,21083,4.010714033262677,1.9741234710952558,-6.853433591387785,1.2749262230827947,65.89252090454102,41603.75,1385402400000,0.6899993896484375,1.5974183645253672,-4.543503447720588E-13,-6.923974817254797,
2_1_LC08_013030_20140512,142.35692,2.84,60.591198,0.981,1.010217,41771.64755347222,1399908748620,1.0,23640,22.70772495536324,10.470034298141098,8.7907930103772,1.896745256290119,29.408802032470703,41771.75,1399917600000,1.529998779296875,6.45194214491306,-1.283699740996524E-14,-0.8853277909593185,
1_2_1_LE07_013030_20140520,139.5125,2.0,61.93332,0.981,1.0119492,41779.646006828705,1400599814990,0.8730964467005076,20640,20.278975809279903,10.183086368868159,7.5795974615494055,1.1445834933218877,28.066680908203125,41779.75,1400608800000,1.5600006103515627,8.820579275619965,3.0188413299199863E-13,-2.2746168562703377,
1_2_1_LE07_013030_20140808,139.8701,13.0,57.40529,0.981,1.0139557,41859.64621643518,1407511833100,0.8480964467005077,20049,23.8904678625695,18.58673951267552,15.476126332990793,0.42282173056107314,32.59471130371094,41859.75,1407520800000,1.9000000000000001,12.543651299227394,1.3570836471712439E-11,-7.356795913864285,
2_1_LC08_013030_20140917,154.009,15.89,45.995827,0.981,1.0050675,41899.64793472222,1410967981560,0.8657783417935703,20467,18.596530434925796,15.266049510521928,5.552613980051329,1.067632292773556,44.004173278808594,41899.75,1410976800000,1.579998779296875,3.1195018612183,1.0414365816987362E-13,-9.098109523491914,
2_1_LC08_013030_20141003,158.31999,0.02,40.458096,0.981,1.0005507,41915.64796851852,1412350384480,1.0,23640,18.26590561259375,14.976617285731592,13.78697164613747,0.19827420669266055,49.54190444946289,41915.75,1412359200000,1.3700012207031251,16.58959267435523,4.999109961558172E-13,-6.00000201457449,
1_2_1_LE07_013030_20141027,161.97131,40.0,32.13336,0.981,0.9937933,41939.64652962963,1414423860160,0.677834179357022,16024,11.033367458585614,8.702171043906533,0.9383931653515947,1.4222099063213764,57.86663818359375,41939.75,1414432800000,1.2300000190734863,1.6391366733683128,-7.198184283778942E-13,-5.458953593310549,
