,system:index,azimuth,cloud_cover,elev,emiss,esd,l_exceltime,landsat_time,pct_lake,pixel_count,surface_temp_max,surface_temp_mean,surface_temp_median,surface_temp_min,surface_temp_stdDev,sza,v_exceltime,vapor_time,water_column,scene,temp_avg,t_stdev,depth_avg,d_stdev,temp_med,insitu_count,HerrickCoveSouth_median,HerrickCoveSouth_mean,HerrickCoveSouth_std,HerrickCoveSouth_count,Newbury_median,Newbury_mean,Newbury_std,Newbury_count,NorthSunapeeHarbor_median,NorthSunapeeHarbor_mean,NorthSunapeeHarbor_std,NorthSunapeeHarbor_count,SouthOfTheFells_median,SouthOfTheFells_mean,SouthOfTheFells_std,SouthOfTheFells_count,loon_median,loon_mean,loon_std,loon_count,harbor_median,harbor_mean,harbor_std,harbor_count,GeorgesMills_median,GeorgesMills_mean,GeorgesMills_std,GeorgesMills_count,HerrickCove_median,HerrickCove_mean,HerrickCove_std,HerrickCove_count,StateBeach_median,StateBeach_mean,StateBeach_std,StateBeach_count
248,2_1_LC08_013030_20160618,134.57008000000002,1.38,64.500114,0.977941145456293,1.0160778,42539.64764930555,1466263956900.0,1.0,17165,26.361934452359595,18.93055600361997,18.7178548710692,17.337468104804508,0.9926691719451444,25.49988555908203,42539.75,1466272800000,0.9899999618530274,LC08_013030_20160618,19.441999999999997,0.975167222127113,1.52,0.07888106377466156,19.744999999999997,10.0,17.09,17.09,,1.0,19.53,19.53,,1.0,18.54,18.54,,1.0,19.36,19.36,,1.0,19.934999999999995,19.98333333333333,0.29676028485406797,6.0,,,,,,,,,,,,,,,,
249,2_1_LC08_013030_20160704,134.01465,0.37,63.574863,0.977941145456293,1.0167509,42555.64775833333,1467646366320.0,1.0,17165,26.184118781982257,20.0719145555629,19.891116501275846,19.47111424430021,0.6792259877257271,26.42513656616211,42555.75,1467655200000,1.8899999618530277,LC08_013030_20160704,22.039,0.32507947746153854,1.52,0.07888106377466156,22.200000000000003,10.0,21.97,21.97,,1.0,21.99,21.99,,1.0,21.64,21.64,,1.0,21.32,21.32,,1.0,22.244999999999997,22.245000000000005,0.0512835256198328,6.0,,,,,,,,,,,,,,,,
250,2_1_LC08_013030_20160720,136.03628999999998,10.8,61.431236,0.977941145456293,1.0160836,42571.647830324066,1469028772540.0,0.99504806291873,17080,22.258806496986647,19.5010202785683,19.48405878434503,15.540003842256699,0.3084880064395646,28.56876373291016,42571.75,1469037600000,2.370000076293945,LC08_013030_20160720,23.391,0.35325313555264815,1.52,0.07888106377466156,23.54,10.0,23.66,23.66,,1.0,23.33,23.33,,1.0,23.14,23.14,,1.0,22.48,22.48,,1.0,23.54,23.55,0.021908902300207558,6.0,,,,,,,,,,,,,,,,
251,2_1_LC08_013030_20160805,140.11158999999998,6.34,58.271564,0.977941145456293,1.014357,42587.6478625,1470411175320.0,0.7570637926012235,12995,21.810476659216622,17.594574693550918,18.597845169080035,11.454722986486145,2.2340051942295087,31.728435516357425,42587.75,1470420000000,2.370000076293945,LC08_013030_20160805,24.654999999999998,0.34667467939457824,1.52,0.07888106377466156,24.749999999999996,10.0,24.87,24.87,,1.0,24.37,24.37,,1.0,23.83,23.83,,1.0,24.53,24.53,,1.0,24.805,24.825,0.1300384558505686,6.0,,,,,,,,,,,,,,,,
252,1_2_1_LE07_013030_20160829,148.94914,21.0,52.162724,0.977941145456293,1.0097582,42611.64970555555,1472484934560.0,0.7907952228371686,13574,24.90116307615732,19.953553071016678,20.280217132003802,11.598227022608581,0.8853766651003291,37.83727645874024,42611.75,1472493600000,1.6600000381469728,LE07_013030_20160829,23.647000000000002,0.25254482550408586,1.52,0.07888106377466156,23.689999999999998,10.0,24.17,24.17,,1.0,23.16,23.16,,1.0,23.49,23.49,,1.0,23.49,23.49,,1.0,23.7,23.69333333333333,0.01505545305418001,6.0,,,,,,,,,,,,,,,,
253,1_2_1_LE07_013030_20160914,154.10805,73.0,47.036526,0.977941145456293,1.0057406,42627.649725694435,1473867336300.0,0.7630643751820565,13098,18.70272793662053,15.299903163726913,15.476252763353513,12.158939230450313,0.6167522654291184,42.96347427368164,42627.75,1473876000000,2.4700000762939456,LE07_013030_20160914,21.934,0.1386602562620838,1.52,0.07888106377466156,21.9,10.0,22.3,22.3,,1.0,21.99,21.99,,1.0,21.81,21.81,,1.0,21.82,21.82,,1.0,21.9,21.903333333333332,0.01966384160500198,6.0,,,,,,,,,,,,,,,,
254,2_1_LC08_013030_20161024,162.2845,22.48,33.064236,0.977941145456293,0.9944494,42667.64808703704,1477323194720.0,0.9059131954558696,15550,11.695246341214268,10.75747354620728,11.158733259711303,-0.5893870717029897,1.1616438577358297,56.93576431274414,42667.75,1477332000000,0.6400000095367432,LC08_013030_20161024,13.5408,0.2460807455558696,1.5,0.0,13.39,10.0,,,,,,,,,,,,,,,,,13.845999999999998,13.821999999999997,0.04799999999999965,4.0,13.370000000000005,13.353333333333333,0.046761807778001666,6.0,,,,,,,,,,,,
255,1_2_1_LE07_013030_20161101,163.73408999999998,25.0,30.622875,0.977941145456293,0.9923516,42675.64968958333,1478014533180.0,0.4683367317215264,8039,8.163338638535821,4.980557680893045,4.6140588443290245,0.9383935051020642,1.8438087788384852,59.37712478637695,42675.75,1478023200000,1.2800000190734864,LE07_013030_20161101,11.0377,0.09016410963718692,1.5,0.0,11.024999999999999,10.0,,,,,,,,,,,,,,,,,11.09,11.114249999999998,0.09339298688873802,4.0,10.995000000000001,10.986666666666665,0.03983298465677256,6.0,,,,,,,,,,,,
256,2_1_LC08_013030_20170504,144.08742,20.11,58.70405,0.977941145456293,1.0084302,42859.64735405093,1493911931390.0,0.9551412758520244,16395,12.726949924753225,5.285415713585558,5.688852288002567,-11.561440079408928,2.2564310684000666,31.29595184326172,42859.75,1493920800000,0.6099999904632569,LC08_013030_20170504,8.741666666666667,0.04535048695071136,1.5,0.0,8.72,6.0,,,,,,,,,,,,,,,,,,,,,8.72,8.741666666666667,0.04535048695071144,6.0,,,,,,,,,,,,
258,1_2_1_LE07_013030_20170613,136.47784,22.0,64.842834,0.977941145456293,1.0156151,42899.64965648148,1497368130320.0,0.3484998543547917,5982,22.359737992626584,15.069755342358414,14.930225327072588,12.719115056088171,1.2090769934394474,25.15716552734375,42899.75,1497376800000,2.1899999618530277,LE07_013030_20170613,20.586666666666662,0.08891943919451545,1.5,0.0,20.56,6.0,,,,,,,,,,,,,,,,,,,,,20.56,20.586666666666662,0.0889194391945152,6.0,,,,,,,,,,,,
