,system:index,azimuth,cloud_cover,elev,emiss,esd,l_exceltime,landsat_time,pct_lake,pixel_count,surface_temp_count,surface_temp_max,surface_temp_mean,surface_temp_median,surface_temp_min,surface_temp_p25,surface_temp_p75,surface_temp_skew,surface_temp_stdDev,sza,v_exceltime,vapor_time,water_column,scene,temp_avg,t_stdev,depth_avg,d_stdev,temp_med,insitu_count,HerrickCoveSouth_median,HerrickCoveSouth_mean,HerrickCoveSouth_std,HerrickCoveSouth_count,Newbury_median,Newbury_mean,Newbury_std,Newbury_count,NorthSunapeeHarbor_median,NorthSunapeeHarbor_mean,NorthSunapeeHarbor_std,NorthSunapeeHarbor_count,SouthOfTheFells_median,SouthOfTheFells_mean,SouthOfTheFells_std,SouthOfTheFells_count,loon_median,loon_mean,loon_std,loon_count,harbor_median,harbor_mean,harbor_std,harbor_count,GeorgesMills_median,GeorgesMills_mean,GeorgesMills_std,GeorgesMills_count,HerrickCove_median,HerrickCove_mean,HerrickCove_std,HerrickCove_count,StateBeach_median,StateBeach_mean,StateBeach_std,StateBeach_count
210,1_2_1_LE07_013030_20130517,139.53268,34.0,61.252213,0.9779510005476144,1.011393,41411.644977083335,1368804526020.0,0.4654822335025381,11004,11613,17.099078571989175,9.886265095019828,9.894778470680503,5.214137392998374,9.320797517513467,10.465768133060095,0.6763808122117612,0.8899839351767922,28.747787475585934,41411.75,1368813600000,1.020001220703125,LE07_013030_20130517,12.19,0.02449489742783126,0.5,0.0,12.2,6.0,,,,,,,,,,,,,,,,,12.2,12.19,0.02449489742783145,6.0,,,,,,,,,,,,,,,,
211,2_1_LC08_013030_20130712,135.5364,23.91,62.93598000000001,0.9779510005476144,1.0165613000000002,41467.6492255787,1373643293090.0,0.2881979695431472,6813,7229,19.47891373843834,13.934324879070815,14.686452792228307,-6.508030875313818,12.571991915740462,16.30863783895584,-1.926001478026796,3.3990439149830283,27.06401824951172,41467.75,1373652000000,1.15,LC08_013030_20130712,24.823,0.6428417811215726,0.89,0.5065131346328104,25.18,10.0,24.64,24.64,,1.0,24.02,24.02,,1.0,24.52,24.52,,1.0,23.49,23.49,,1.0,25.27,25.26,0.07266360849833882,6.0,,,,,,,,,,,,,,,,
212,1_2_1_LE07_013030_20130805,138.06842,0.0,57.740159999999996,0.9779510005476144,1.0143673,41491.64454861111,1375716489000.0,0.6368443316412861,15055,15893,22.868200658846842,18.962643939701703,19.229234318566228,12.160554312846987,18.700381225101665,19.229234318566228,-2.3987218668311856,0.525621484424563,32.259838104248054,41491.75,1375725600000,1.6200012207031251,LE07_013030_20130805,22.497999999999998,0.307419366121699,0.89,0.5065131346328104,22.6,10.0,22.76,22.76,,1.0,22.49,22.49,,1.0,22.48,22.48,,1.0,21.65,21.65,,1.0,22.6,22.599999999999998,0.0,6.0,,,,,,,,,,,,,,,,
213,1_2_1_LE07_013030_20130906,148.99937,2.0,49.120106,0.9779510005476144,1.0078804,41523.644757175935,1378481307020.0,0.6536802030456853,15453,16330,21.838589930590693,17.277899620861618,17.63539484582752,12.72019725824742,17.099431437617156,18.168932246771593,-1.1502630593153291,1.0724408314128804,40.8798942565918,41523.75,1378490400000,1.4799987792968752,LE07_013030_20130906,21.663999999999998,0.375653504649637,1.49,0.05676462121975472,21.915,10.0,21.59,21.59,,1.0,21.16,21.16,,1.0,21.31,21.31,,1.0,20.99,20.99,,1.0,21.934999999999995,21.93166666666666,0.014719601443879286,6.0,,,,,,,,,,,,,,,,
214,2_1_LC08_013030_20130930,158.19666999999998,3.88,41.541733,0.9779510005476144,1.0013444,41547.64914849537,1380555286430.0,0.6791878172588832,16056,16885,19.318605912739013,15.699167497634484,15.81658182502858,10.722408994110165,15.569807508713634,15.93330689190526,-2.6141223572371803,0.6135686789574324,48.45826721191406,41547.75,1380564000000,1.6,LC08_013030_20130930,17.226666666666663,0.030110906108361257,1.0,0.5477225575051661,17.235,6.0,,,,,,,,,,,,,,,,,17.235,17.226666666666663,0.03011090610836194,6.0,,,,,,,,,,,,,,,,
215,1_2_1_LE07_013030_20131008,158.17659,1.0,38.345352,0.9779510005476144,0.9990453000000001,41555.64501585648,1381246129370.0,0.6498730964467005,15363,16210,15.476686845405116,13.763752988468767,13.8311291411255,11.033857469413812,13.8311291411255,13.8311291411255,-0.9811151310430606,0.3793167672737106,51.65464782714844,41555.75,1381255200000,0.929998779296875,LE07_013030_20131008,16.43,0.06603029607687487,1.0,0.5477225575051661,16.424999999999997,6.0,,,,,,,,,,,,,,,,,16.424999999999997,16.43,0.06603029607687493,6.0,,,,,,,,,,,,,,,,
220,1_2_1_LE07_013030_20140808,139.8701,13.0,57.40529,0.9779510005476144,1.0139557,41859.64621643518,1407511833100.0,0.6178934010152284,14607,15409,21.32354450604964,18.587009353758805,18.70106222942201,15.47656068881126,18.169690065011324,18.70106222942201,-0.4634307075467763,0.4089691188861793,32.594711303710945,41859.75,1407520800000,1.9,LE07_013030_20140808,22.967999999999996,0.22948250962158792,1.05,0.4813176359397883,23.04,10.0,22.93,22.93,,1.0,22.66,22.66,,1.0,23.14,23.14,,1.0,22.48,22.48,,1.0,23.04,23.07833333333333,0.08588752334691492,6.0,,,,,,,,,,,,,,,,
221,2_1_LC08_013030_20140917,154.009,15.89,45.995827,0.9779510005476144,1.0050675,41899.64793472222,1410967981560.0,0.6290609137055837,14871,15682,18.46092580180141,15.268896155395822,15.688232306001881,5.552666056617827,15.19393606937392,15.817668187159235,-3.002822186359725,1.0664725995238655,44.004173278808594,41899.75,1410976800000,1.579998779296875,LC08_013030_20140917,18.103,1.7558097214042807,1.05,0.4813176359397883,18.98,10.0,18.66,18.66,,1.0,18.39,18.39,,1.0,14.57,14.57,,1.0,15.05,15.05,,1.0,19.01,19.060000000000002,0.10507140429250962,6.0,,,,,,,,,,,,,,,,
222,2_1_LC08_013030_20141003,158.31999,0.02,40.458096000000005,0.9779510005476144,1.0005507,41915.64796851852,1412350384480.0,0.7272842639593908,17193,18138,17.11512265186975,14.977837999444956,14.944161597104292,13.787337376030711,14.944161597104292,15.058249578965011,0.30341269904573825,0.1956574156200345,49.54190444946289,41915.75,1412359200000,1.3700012207031251,LC08_013030_20141003,17.548333333333332,0.10127520262466523,0.8333333333333334,0.5163977794943223,17.5,6.0,,,,,,,,,,,,,,,,,17.5,17.548333333333332,0.10127520262466472,6.0,,,,,,,,,,,,,,,,
223,1_2_1_LE07_013030_20141027,161.97131000000002,40.0,32.133359999999996,0.9779510005476144,0.9937933000000001,41939.64652962963,1414423860160.0,0.4925972927241963,11645,12264,11.033616547943986,8.700785475321842,9.320614368618166,0.9383948519337454,8.163385653819446,9.894592795415775,-1.6354048111426736,1.4252517416737376,57.86663818359375,41939.75,1414432800000,1.2300000190734863,LE07_013030_20141027,12.657999999999998,0.10494337097268867,1.5,0.0,12.6,10.0,,,,,,,,,,,,,,,,,12.7385,12.762500000000001,0.09243556314175726,4.0,12.59,12.588333333333333,0.011690451944500201,6.0,,,,,,,,,,,,
